brand,model,version,price,caractéristiques_disponibilité,caractéristiques_carrosserie,caractéristiques_garantie,caractéristiques_nombre_de_places,caractéristiques_nombre_de_portes,motorisation_nombre_de_cylindres,motorisation_energie,motorisation_puissance_fiscale,motorisation_puissance_(ch.din),transmission_boîte,transmission_nombre_de_rapports,transmission_transmission,consommation_consommation_mixte,aides_à_la_conduite_aide_au_stationnement,equipements_extérieurs_jantes,audio_et_communication_ecran_central,equipements_intérieurs_sellerie,equipements_intérieurs_volant,equipements_intérieurs_toit,equipements_fonctionnels_frein_de_stationnement,equipements_fonctionnels_modes_de_conduite,performances_autonomie_électrique_(wltp),consommation_consommation_électrique_(wltp),consommation_temps_de_recharge_normale_(ac),consommation_temps_de_recharge_rapide_(dc)
Alfa-Romeo,Alfa Romeo Giulia,Alfa Romeo Giulia,,Indisponible,Berline,3 ans,5,4,4,Essence,11 CV,200 CH,Automatique,8,Propulsion,5.9 L/100 km,Radar de recul | Radar avant,En aluminium | 17'',7 pouces,Cuir,Cuir | Multi-fonctions | Avec palettes,,,,,,,
Alfa-Romeo,Alfa Romeo Stelvio,Alfa Romeo Stelvio,,Indisponible,SUV,3 ans,5,5,4,Essence,17 CV,280 CH,Automatique,8,Intégrale,7 L/100 km,Radar de recul | Radar avant | Caméra de recul,En aluminium | 20'',Tactile | 6.5 pouces,Cuir,Cuir | Chauffant | Multi-fonctions | Avec palettes,Ouvrant | Panoramique | + 7000 DT,,,,,,
Audi,Audi A3 Sportback,35 TFSI Iconic Line,139 990 DT,Disponible,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH,Automatique,8,Traction,5.4 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Tissu,Cuir | 3 branches | Multi-fonctions | Avec palettes,,Éléctrique,,,,,
Audi,Audi A3 Sportback,35 TFSI Tech Line,154 000 DT,Disponible,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH,Automatique,8,Traction,5.4 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Tissu,Cuir | 3 branches | Multi-fonctions | Avec palettes,Panoramique | En verre,Éléctrique,,,,,
Audi,Audi A3 Sportback,35 TFSI S-Line,179 990 DT,Disponible,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH,Automatique,8,Traction,5.4 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Similicuir/Tissu,Cuir | 3 branches | Multi-fonctions | Sport | à méplat | Avec palettes,Panoramique | En verre,Éléctrique,,,,,
Audi,Audi A3 Berline,Audi A3 Berline,,Disponible,Berline,3 ans,5,4,4,Essence,8 CV,150 CH,Automatique,8,Traction,5.4 L/100 km,Radar de recul | Radar avant | Caméra de recul | Parkassist,En aluminium | 17'',Tactile | 10.1 pouces,Tissu,Cuir | Multi-fonctions | Avec palettes,Panoramique | En verre,Éléctrique,,,,,
Audi,Audi Q2,Audi Q2,,Disponible,SUV,3 ans,5,5,4,Essence,8 CV,150 CH,Automatique,8,Traction,6.0 L/100 km,Radar de recul | Radar avant | Caméra de recul,En aluminium | 17'',8.8 pouces,Tissu,Cuir | 3 branches | Multi-fonctions | à méplat,Ouvrant | Panoramique,,,,,,
Audi,Audi Q3 Sportback,Audi Q3 Sportback,,Disponible,SUV,3 ans,5,5,4,Essence,9 CV,150 CH,Automatique,6,Traction,5.8 L/100 km,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,En aluminium | 18'',Tactile | 8.8 pouces,Cuir/similicuir,Cuir | 3 branches | Multi-fonctions,Ouvrant | Panoramique,,Audi Drive Select,,,,
Audi,Audi A5,Audi A5,,Disponible,Berline,3 ans,5,5,4,Essence,8 CV,150 CH,Automatique,7,Traction,7.3 L/100 km,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus | Détection du trafic en marche arrière,En aluminium | 18'',Tactile | Curved Display | 14.5 pouces,Cuir/similicuir,Cuir | 3 branches | Multi-fonctions | Sport | à méplat | Avec palettes,Panoramique | En verre | Electrochrome,Éléctrique,Audi Drive Select,,,,
Audi,Audi A6 Sportback e-tron,Audi A6 Sportback e-tron,,Disponible,Berline,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,9 CV,367 CH,Automatique,,Propulsion,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus | Détection du trafic en marche arrière,En aluminium | 20'',Tactile | Curved Display | 14.5 pouces,Cuir/similicuir,Cuir | Chauffant | Multi-fonctions | Sport | à méplat | Réglage électrique | Avec palettes,Panoramique | En verre | Electrochrome,Éléctrique,Audi Drive Select,673 km,15.9 kWh/100 km,10 heures,21 minutes
Audi,Audi Q6 e-tron,Audi Q6 e-tron,,Disponible,SUV,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,9 CV,388 CH,Automatique,,Intégrale,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus,En aluminium | 20'',Tactile | 14.5 pouces,Cuir/Microfibre Dinamica | Nappa | Surpiqures,Cuir | 3 branches | Chauffant | Multi-fonctions | Sport | à méplat | Avec palettes,Panoramique | En verre,Éléctrique,Audi Drive Select,619 km,19.5 kWh/100 km,10 heures,21 minutes
Audi,Audi Q6 Sportback e-tron,Audi Q6 Sportback e-tron,,Disponible,SUV,3 ans | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,9 CV,388 CH,Automatique,,Intégrale,,Radar de recul | Radar avant | Système de caméras 360 | Audi Parking System Plus | Détection du trafic en marche arrière,En aluminium | 20'',Tactile | Curved Display | 14.5 pouces,Cuir/Microfibre Dinamica | Nappa | Surpiqures,3 branches | Chauffant | Multi-fonctions | Sport | Cuir Perforé | à méplat | Réglage électrique | Avec palettes,Panoramique | En verre,Éléctrique,Audi Drive Select,630 km,18.7 kWh/100 km,10 heures,21 minutes
